address,amount_of_times_interacted_with
0xaaee1a9723aadb7afa2810263653a34ba2c21c7a,24
0x9bca74f805ab0a22ddd0886db0942199a0feba71,24
0xd0d9e5ca8793cae9fac72f34caaf7f99e4f0fc68,24
0x3b3fb9c57858ef816833dc91565efcd85d96f634,24
0xcdfb58c8c859cb3f62ebe9cf2767f9e036c7fb15,24
0xf1c9acdc66974dfb6decb12aa385b9cd01190e38,24
0x72a19342e8f1838460ebfccef09f6585e32db86e,24
0x6985884c4392d348587b19cb9eaaf157f13271cd,24
0x28b5a0e9c621a5badaa536219b3a228c8168cf5d,24
0xe4c0c2a1a53a56d822d41d763088c702166a7b7f,24
0x959e104e1a4db6317fa58f8295f586e1a978c297,24
0x892848074ddea461a15f337250da3ce55580ca85,23
0x655ffdd5fa45324c8f9c2775b15b3fc21114de7a,23
0xf6680ea3b480ca2b72d96ea13ccaf2cfd8e6908c,23
